doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/486,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,120.0000,08041020,20340.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {486} (25th Apr).pdf,1
INV,CND/26-27/486,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,8.0000,20089300,4108.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {486} (25th Apr).pdf,1
INV,CND/26-27/487,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {487} (25th Apr).pdf,1
INV,CND/26-27/487,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,144.0000,08041020,24408.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {487} (25th Apr).pdf,1
INV,CND/26-27/487,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,8.0000,20089300,4108.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {487} (25th Apr).pdf,1
INV,CND/26-27/488,25-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL CALIFORNIA PRUNES 200G,8.0000,08132000,5115.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {488} (25th Apr).pdf,1
INV,CND/26-27/488,25-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL CLASSIC DATES 500G,328.0000,08041020,55596.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {488} (25th Apr).pdf,1
INV,CND/26-27/488,25-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL SLICED CRANBERRIES 100G,8.0000,20089300,4108.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {488} (25th Apr).pdf,1
INV,CND/26-27/488,25-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL DRIED BLUEBERRIES 100G,16.0000,20089919,21784.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {488} (25th Apr).pdf,1
INV,CND/26-27/488,25-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL ZAHIDI DATES 500G,20.0000,08041020,3358.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {488} (25th Apr).pdf,1
INV,CND/26-27/489,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,16.0000,08131000,18595.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {489} (25th Apr).pdf,1
INV,CND/26-27/489,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL CALIFORNIA PRUNES 200G,8.0000,08132000,5115.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {489} (25th Apr).pdf,1
INV,CND/26-27/489,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,16.0000,20089300,8217.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {489} (25th Apr).pdf,1
INV,CND/26-27/489,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL DRIED BLUEBERRIES 100G,24.0000,20089919,32676.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {489} (25th Apr).pdf,1
INV,CND/26-27/490,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {490} (25th Apr).pdf,1
INV,CND/26-27/490,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL CALIFORNIA PRUNES 200G,24.0000,08132000,15345.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {490} (25th Apr).pdf,1
INV,CND/26-27/490,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,32.0000,20089300,16435.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {490} (25th Apr).pdf,1
INV,CND/26-27/490,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL DRIED BLUEBERRIES 100G,24.0000,20089919,32676.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {490} (25th Apr).pdf,1
INV,CND/26-27/503,27-Apr-26,CFPL,W-202,Ajfan Dates and Nuts,Medjoul Dates Super,1000.0000,08041020,1350000.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\Ajfan [CFPL] {503} (27th Apr).pdf,1
INV,CND/26-27/526,27-Apr-26,CFPL,OTHER,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,1000.0000,20081930,1143450.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\ALIGN [CFPL] {526} (27th Apr).pdf,1
CN,CF/CN/26-27/42,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,7.3800,20081930,7832.25,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\ALIGN {CN42}.pdf,1
CN,CF/CN/26-27/43,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,6.6900,20081930,7676.17,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\ALIGN {CN43}.pdf,1
CN,CF/CN/26-27/44,27-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,American Almonds,15.9000,08021200,12293.72,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\ALIGN {CN44}.pdf,1
INV,CND/26-27/527,27-Apr-26,CFPL,W-202,ALPINO HEALTH FOODS PRIVATE LIMITED,Indian Green Raisins,1300.0000,08062010,481000.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\ALPINO [CFPL] {527} (27th Apr) [Not Final].pdf,1
INV,CND/26-27/504,27-Apr-26,CFPL,W-202,D G Foods,Royal Delight Arabian Dates 250g,70.0000,08041020,16998.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D G Foods [CFPL] {504} (27th Apr).pdf,1
