entity,fg,fg_salegroup,case,sfg
cfpl,Carnival Classic Chia Seeds 1 Kg,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Chia Seeds 100gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Date Bites 357gm,VA,SFG_blend,Classic Date Bites Bulk
cfpl,Carnival Classic Hazelnut 250 GMS,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Indian Kishmish 500 Gms,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Indian Raisins 250g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Irani Pistachio Salted 80g,VA,SFG_reuse_intermediate,Pista Irani Inshell Roasted and Salted
cfpl,Carnival Classic Pumpkin Seeds 100g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Sunflower Seeds 100G,RPC,NO_SFG_plain_repack,
cfpl,Carnival Cocktail Mix 100g,VA,SFG_blend,Cocktail Mix Bulk
cfpl,Carnival Cocktail Mix 200g,VA,SFG_blend,Cocktail Mix Bulk
cfpl,Carnival Cocktail Mix 250g,VA,SFG_blend,Cocktail Mix Bulk
cfpl,Carnival Cocktail Mix Plain Pouch 100g,VA,SFG_blend,Cocktail Mix Plain Pouch Bulk
cfpl,Carnival Cranberry Flavoured Chatpata 200g,VA,SFG_blend,Cranberry Flavoured Chatpata Bulk
cfpl,Carnival Cranberry Sliced 250 Gms,RPC,NO_SFG_plain_repack,
cfpl,Carnival Cranberry Whole - 100gm,RPC,SFG_blend,Cranberry Whole Bulk
cfpl,Carnival Cranberry Whole 250G,RPC,NO_SFG_plain_repack,
cfpl,Carnival Crunchy Caramel Trail Mix 100g,VA,SFG_blend,Crunchy Caramel Trail Mix Bulk
cfpl,Carnival Crunchy Caramel Trail Mix 200g,VA,SFG_blend,Crunchy Caramel Trail Mix Bulk
cfpl,Carnival Crunchy Caramel Trail Mix 250g,VA,SFG_blend,Crunchy Caramel Trail Mix Bulk
cdpl,Carnival Dates Premium Black Loose,DATES RPC,NO_SFG_plain_repack,
cfpl,Carnival Deluxe Seeded Black Raisin 250gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Dried Blueberry 250g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Dried Blueberry 250g - Tub,RPC,NO_SFG_plain_repack,
cfpl,Carnival Dried Cranberry Whole 100g (PP),RPC,NO_SFG_plain_repack,
