sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0089,Carnival Salted Caramel Pecannuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival salted caramel pecannuts,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Carnival Salted Caramel Pecannuts 80g,
SFG0090,Carnival Simply Thandai · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival simply thandai,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Simply Thandai 100g,
SFG0091,Carnival Simply Thandai Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival simply thandai mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Simply Thandai Mix 200gm,
SFG0092,Carnival Smoked Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival smoked almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Carnival Smoked Almonds 100gm,Smoked Almonds Bulk
SFG0093,Cashew Jumbo with Skin Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cashew jumbo with skin roasted and salted,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Cashew Jumbo with Skin Roasted and Salted,
SFG0094,Cashew Masala · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cashew masala,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Cashew Masala,
SFG0095,Cashew Pink salt · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cashew pink salt,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Cashew Pink salt,
SFG0096,CCD Energy Bar with Jaggery · WIP · BlendForm,DERIVED_INLINE,Blend & Form,ccd energy bar with jaggery,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,CCD Energy Bar with Jaggery,
SFG0097,Chatpata Black Raisin · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chatpata black raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,Chatpata Black Raisin,
SFG0098,Chatpata Seasoning · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chatpata seasoning,N,,Y,sfg,kg,wip,FIFO,,45,1,Chatpata Seasoning,
SFG0099,CHATPATA SNACK MIX · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chatpata snack mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,CHATPATA SNACK MIX,
SFG0100,Cheese Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cheese cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Cheese Cashew,
SFG0101,Cheese Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,cheese makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Cheese Makhana,
SFG0102,Chilean Walnut Kernel Quarter BBQ · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,chilean walnut kernel quarter bbq,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Chilean Walnut Kernel Quarter BBQ,Chilean Walnut Kernel Quarter
