sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0235,Peri Peri Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,peri peri cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,6,Carnival Peri Peri Cashew 150gm; Carnival Peri Peri Cashew 200gm; Peri Peri Cashew; Peri Peri Cashew Bulk; Tasties Peri Peri Cashew - Flavourful & Crunchy 75 g,
SFG0236,Peri Peri Pecannut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,peri peri pecannut,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Peri Peri Pecannut,
SFG0237,Pink Salt Almonds Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,pink salt almonds,Y,fg,Y,sfg,kg,wip,FIFO,ALMOND,45,2,Pink Salt Almonds Bulk; Tasties Roasted Almonds With Pink Salt - Flavourful & Crunchy 75 g,
SFG0238,Pista Akbari Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pista akbari roasted and salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Pista Akbari Roasted and Salted,
SFG0239,Pista Irani 101 Inshell Roasted and salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pista irani 101 inshell roasted and salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Pista Irani 101 Inshell Roasted and salted,
SFG0240,Pista Irani Inshell Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pista irani inshell roasted and salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Pista Irani Inshell Roasted and Salted,
SFG0241,PISTA PERI PERI · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pista peri peri,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,PISTA PERI PERI,
SFG0242,Plain Coated Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,plain coated peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Plain Coated Peanuts,
SFG0243,Planck Foods Multi Millet 5 GC puffs · WIP · Roast,DERIVED_INLINE,Roasting,planck foods multi millet 5 gc puffs,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,45,1,Planck Foods Multi Millet 5 GC puffs 210g,
SFG0244,Premium Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,premium trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Premium Trail Mix 100gm,
SFG0245,Pudina Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pudina cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Pudina Cashew,
SFG0246,Pudina Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pudina makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Pudina Makhana,
SFG0247,Pumpkin Seeds Roasted · WIP · Roast,DERIVED_INLINE,Roasting,pumpkin seeds roasted,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Pumpkin Seeds Roasted,
SFG0248,Pumpkin Seeds Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pumpkin seeds roasted and salted,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Pumpkin Seeds Roasted and Salted,
SFG0249,Red Dates Seedless · WIP · DeSeed,DERIVED_INLINE,De-Seeding,red dates seedless,N,,Y,sfg,kg,wip,FIFO,DATES,7,1,Red Dates Seedless 500 Gm,
SFG0250,Rhine Valley Almond & Coffee Date Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,rhine valley almond & coffee date bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Rhine Valley Almond & Coffee Date Bar 50gm,
SFG0251,Rhine Valley Almond & Cranberry Date Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,rhine valley almond & cranberry date bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Rhine Valley Almond & Cranberry Date Bar 50gm,
SFG0252,Rhine Valley Almond & Orange Dark Chocolate Date Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,rhine valley almond & orange dark chocolate date bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Rhine Valley Almond & Orange Dark Chocolate Date Bar 50gm,
SFG0253,Rhine Valley Barbeque Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,rhine valley barbeque trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Rhine Valley Barbeque Trail Mix 100gm,
SFG0254,Rhine Valley Black Pepper Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,rhine valley black pepper trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Rhine Valley Black Pepper Trail Mix 100gm,
SFG0255,Rhine Valley Fruit & Nut Date Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,rhine valley fruit & nut date bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Rhine Valley Fruit & Nut Date Bar 50gm,
SFG0256,Rhine Valley Himalayan Pink Salt Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,rhine valley himalayan pink salt trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Rhine Valley Himalayan Pink Salt Trail Mix 100gm,
SFG0257,Rhine Valley Masala Trail mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,rhine valley masala trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Rhine Valley Masala Trail mix 100g,
SFG0258,Rhine Valley Peri Peri Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,rhine valley peri peri trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Rhine Valley Peri Peri Trail Mix 100gm,
SFG0259,"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar · WIP · BlendForm",DERIVED_INLINE,Blend & Form,"rhine valley raspberry, almond & dark chocolate date bar",N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,"Rhine Valley Raspberry, Almond & Dark Chocolate Date Bar 50gm",
SFG0260,Rhine Valley Rose & Pistachio Date Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,rhine valley rose & pistachio date bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Rhine Valley Rose & Pistachio Date Bar 50gm,
SFG0261,Roasted & Salted Almonds Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,roasted & salted almonds,Y,fg,Y,sfg,kg,wip,FIFO,ALMOND,45,8,Ez Almond Rstd Salted Loose; FNP Almonds 26-29 - Salted & Roasted 50 gm; Premia Almond Salted 100 Gm; Roasted & Salted Almonds; Roasted & Salted Almonds 140g,
SFG0262,Roasted & Salted Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,roasted & salted cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,9,Cafe Galleries Salted Cashew 210- 250gm; Carnival Cashew Roasted And Salted 250g; Roasted & Salted Cashew; Roasted & Salted Cashew  140g; Roasted & Salted Cashew 75gm,
SFG0263,Roasted & Salted Pecan Nuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,roasted & salted pecan nuts,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Roasted & Salted Pecan Nuts 75gm,
SFG0264,Roasted & Salted Pista · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,roasted & salted pista,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Roasted & Salted Pista 230g,
SFG0265,Roasted Black Sesame (Kale Til) Seeds · WIP · Roast,DERIVED_INLINE,Roasting,roasted black sesame (kale til) seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Roasted Black Sesame (Kale Til) Seeds,
SFG0266,Roasted Flax Seeds · WIP · Roast,DERIVED_INLINE,Roasting,roasted flax seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Roasted Flax Seeds,
SFG0267,Roasted Makhana · WIP · Roast,DERIVED_INLINE,Roasting,roasted makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Roasted Makhana,
SFG0268,Roasted Peanuts · WIP · Roast,DERIVED_INLINE,Roasting,roasted peanuts,N,,Y,sfg,kg,wip,FIFO,,45,1,Roasted Peanuts,
SFG0269,Roasted Peanuts Split · WIP · Roast,DERIVED_INLINE,Roasting,roasted peanuts split,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Roasted Peanuts Split,
SFG0270,Roasted Poppy Seed · WIP · Roast,DERIVED_INLINE,Roasting,roasted poppy seed,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Roasted Poppy Seed,
SFG0271,Roasted Salted Flax Seeds · WIP · Roast,DERIVED_INLINE,Roasting,roasted salted flax seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Roasted Salted Flax Seeds,
SFG0272,Roasted White Sesame (Safed Til) Seeds · WIP · Roast,DERIVED_INLINE,Roasting,roasted white sesame (safed til) seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Roasted White Sesame (Safed Til) Seeds,
SFG0273,Royal Delight Stuff Medjoul Dates · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,royal delight stuff medjoul dates,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Royal Delight Stuff Medjoul Dates 21 Pcs,
SFG0274,Royal Delight Stuffed Medjoul Dates · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,royal delight stuffed medjoul dates,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Royal Delight Stuffed Medjoul Dates 12 Pcs,
SFG0275,Royal Delight Stuffed Medjul Large Dates · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,royal delight stuffed medjul large dates,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Royal Delight Stuffed Medjul Large Dates 12 Pieces,
SFG0276,ROYAL TRADITON SNACK MASALA MIX · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,royal traditon snack masala mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,ROYAL TRADITON SNACK MASALA MIX 100G,
SFG0277,ROYAL TRADITON SNACK MIX CHATPATA · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,royal traditon snack mix chatpata,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,ROYAL TRADITON SNACK MIX CHATPATA-100G,
SFG0278,Salt and Pepper Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,salt and pepper cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,2,FNP Salt & Pepper Cashew 50gm; Salt and Pepper Cashew Bulk,
SFG0279,Salted Premium Nut Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,salted premium nut mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Salted Premium Nut Mix,
SFG0280,Seed Mix · WIP · Roast,DERIVED_INLINE,Roasting,seed mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Seed Mix,
SFG0281,Seed Trail Mix · WIP · Roast,DERIVED_INLINE,Roasting,seed trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Seed Trail Mix,
SFG0282,Seedy Sheid- Lime Chilly · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,seedy sheid- lime chilly,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Seedy Sheid- Lime Chilly 33gm; Seedy Sheid- Lime Chilly 35gm,
SFG0283,Single Safavi Stuffed Dates · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,single safavi stuffed dates,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Single Safavi Stuffed Dates,
SFG0284,Smoked Almonds Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,smoked almonds,Y,fg,Y,sfg,kg,wip,FIFO,ALMOND,45,4,PREMIA ALMONDS SMOKD-100G; Smoked Almonds; Smoked Almonds Bulk; Tasties Smoked Almonds - Flavourful & Crunchy 75 g,
SFG0285,Smokey BBQ Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,smokey bbq cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,2,FNP Smokin Sweet N Smoky BBQ Cashew 50g; Smokey BBQ Cashew Bulk,
SFG0286,Smokey BBQ Coated Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,smokey bbq coated peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,2,Smokey BBQ Coated Peanuts 200g; Smokey BBQ Coated Peanuts 70gm,
SFG0287,Snack Amor Popcorn Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,snack amor popcorn makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Snack Amor Popcorn Makhana 55 Gm,
SFG0288,Snackania California Pistachio Roasted & Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,snackania california pistachio roasted & salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Snackania California Pistachio Roasted & Salted 230g,
SFG0289,Snackania Cocktail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,snackania cocktail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Snackania Cocktail Mix 480g,
SFG0290,Snackania Irani Pistachio Roasted & Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,snackania irani pistachio roasted & salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Snackania Irani Pistachio Roasted & Salted 230g,
SFG0291,Snacktive Green Chilli Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,snacktive green chilli cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Snacktive Green Chilli Cashew 250 gm,Green Chilli Cashew Bulk
SFG0292,Solimo Premium Macadamia Nuts · WIP · Roast,DERIVED_INLINE,Roasting,solimo premium macadamia nuts,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Solimo Premium Macadamia Nuts 250g (B07MLD6WFQ),
SFG0293,Sour & Cream Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,sour & cream cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,2,Sour & Cream Cashew Bulk; YUMASANA CASHEWS- SOUR CREAM 150g,
SFG0294,Stuffed Dates · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed dates,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,3,1,Stuffed Dates 1kg,
SFG0295,Stuffed Medjoul Large Pc · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc,
SFG0296,Stuffed Medjoul Large Pc with Almond · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with almond,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Almond,
SFG0297,Stuffed Medjoul Large Pc with Dried Pomelo · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with dried pomelo,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Dried Pomelo,
SFG0298,Stuffed Medjoul Large Pc with Hazel Nut · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with hazel nut,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Hazel Nut,
SFG0299,Stuffed Medjoul Large Pc with Macadamia · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with macadamia,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Macadamia,
SFG0300,Stuffed Medjoul Large Pc with Orange Peel · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with orange peel,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Orange Peel,
SFG0301,Stuffed Medjoul Large Pc with Pecan Nut · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with pecan nut,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Pecan Nut,
SFG0302,Stuffed Medjoul Large Pc with Pista · WIP · DeSeed+Stuff,DERIVED_INLINE,De-Seeding + Stuffing,stuffed medjoul large pc with pista,N,,Y,sfg,kg,wip,FIFO,DATES,3,1,Stuffed Medjoul Large Pc with Pista,
SFG0303,Sunflower Seed · WIP · Roast,DERIVED_INLINE,Roasting,sunflower seed,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Sunflower Seed 100g (B07GR6G24J) FBA,
SFG0304,Sunflower Seeds Roasted · WIP · Roast,DERIVED_INLINE,Roasting,sunflower seeds roasted,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Sunflower Seeds Roasted,
SFG0305,Sunflower Seeds Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,sunflower seeds roasted and salted,N,,Y,sfg,kg,wip,FIFO,,45,1,Sunflower Seeds Roasted and Salted,
SFG0306,"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy · WIP · RoastFlav",DERIVED_INLINE,Roast & Flavour/Salt,"tasties coated peanuts - tandoori masala, flavourful & crispy",N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g",
SFG0307,"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy · WIP · RoastFlav",DERIVED_INLINE,Roast & Flavour/Salt,"tasties coated peanuts - thai spice, flavourful & crispy",N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g",
SFG0308,Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Trail Mix; Trail Mix Bulk,Premia Trail Mix Bulk
SFG0309,Trail Mix - Every Health · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,trail mix - every health,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Trail Mix - Every Health,
SFG0310,Urban Platter Almond Blueberry Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,urban platter almond blueberry bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Urban Platter Almond Blueberry Bar 45g,
SFG0311,Urban Platter Chocolate Vanilla Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,urban platter chocolate vanilla bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Urban Platter Chocolate Vanilla Bar 45g,
SFG0312,Urban Platter Cranberry Orange Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,urban platter cranberry orange bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Urban Platter Cranberry Orange Bar 45g,
SFG0313,Urban Platter Mocha Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,urban platter mocha bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Urban Platter Mocha Bar 45g,
SFG0314,Vedaka Broken Cashew · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,vedaka broken cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,7,1,Vedaka Broken Cashew 1kg (B0D9NZYHDC),
SFG0315,Vedaka Cashews - Broken · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,vedaka cashews - broken,N,,Y,sfg,kg,wip,FIFO,CASHEW,7,1,Vedaka Cashews - Broken 500g (B0D9NYHTG1),
SFG0316,Vedaka Healthy Seed Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,vedaka healthy seed mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Vedaka Healthy Seed Mix 200gm(B0B69L57PV),
SFG0317,Vedaka Popular Cashew Broken · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,vedaka popular cashew broken,N,,Y,sfg,kg,wip,FIFO,CASHEW,7,2,Vedaka Popular Cashew Broken 100g FBA(B07GR3S1RL); Vedaka Popular Cashew Broken 200g FBA(B07GQWS1BS),
SFG0318,Vedaka Premium Flavored Dry Fruits · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,vedaka premium flavored dry fruits,N,,Y,sfg,kg,wip,FIFO,FESTIVE HAMPERS,45,1,Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),
SFG0319,Vedaka Premium Sunflower Seeds · WIP · Roast,DERIVED_INLINE,Roasting,vedaka premium sunflower seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Vedaka Premium Sunflower Seeds 500g (B07GR2G67L),
SFG0320,Vedaka Salted Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,vedaka salted peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,2,Vedaka Salted Peanuts - 200g (B0CZ9GZ9F2); Vedaka Salted Peanuts 200 gm (102219262),
SFG0321,Walnut Flavoured Salt & Pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,walnut flavoured salt & pepper,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Walnut Flavoured Salt & Pepper (Quarters) Loose,
SFG0322,Watermelon Seeds Roasted · WIP · Roast,DERIVED_INLINE,Roasting,watermelon seeds roasted,N,,Y,sfg,kg,wip,FIFO,,45,1,Watermelon Seeds Roasted,
SFG0323,White Almond Draggies · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,white almond draggies,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,White Almond Draggies,
SFG0324,Wholesome millet laddu bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,wholesome millet laddu bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Wholesome millet laddu bar 35gm,
SFG0325,YUMASANA COATED PEANUTS - BARB EQUE · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,yumasana coated peanuts - barb eque,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,YUMASANA COATED PEANUTS - BARB EQUE 150g,
SFG0326,YUMASANA COATED PEANUTS - CHILLI GARLIC · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,yumasana coated peanuts - chilli garlic,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,YUMASANA COATED PEANUTS - CHILLI GARLIC 150g,
SFG0327,YUMASANA COATED PEANUTS - PERI PERI · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,yumasana coated peanuts - peri peri,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,YUMASANA COATED PEANUTS - PERI PERI 150g,
SFG0328,YUMASANA COATED PEANUTS - THAI CHILLI · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,yumasana coated peanuts - thai chilli,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,YUMASANA COATED PEANUTS - THAI CHILLI 150g,
SFG0329,Zorro Maple Glazed Pecans · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,zorro maple glazed pecans,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Zorro Maple Glazed Pecans 100g,
SFG0330,Zorro Pecan Grain Free Granola · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,zorro pecan grain free granola,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Zorro Pecan Grain Free Granola 100g,
SFG0331,Zorro Roasted & Lightly Salted Pecans · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,zorro roasted & lightly salted pecans,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Zorro Roasted & Lightly Salted Pecans 100g,
SFG0332,Zorro Sweet & Spicy Pe · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,zorro sweet & spicy pe,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Zorro Sweet & Spicy Pecan 100g,
SFG0333,Chilean Walnut Kernel Quarter,EXISTING_BOM_ARTICLE,(routing on bulk article),chilean walnut kernel quarter,Y,rm,Y,sfg,kg,wip,FIFO,,,3,Chilean Walnut Kernel Quarter; Solimo Premium Walnut Kernels - Broken 500g B07LF8HCLL; Solimo Walnut Kernels – Broken 500g (Pack of 2) B07LFJZR4G,
SFG0334,Coated Peanuts Pudina Patakha Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),coated peanuts pudina patakha,N,,Y,sfg,kg,wip,FIFO,,,6,"Krack Nut Coated Peanuts Pudina Patakha 100g; Krack Nut Coated Peanuts Pudina Patakha 25gm; Kracknut Coated Peanuts-Pudhina Patakha 110g; Kracknut Coated Peanuts-Pudhina Patakha 1kg; Tasties Coated Peanuts - Pudina Patakha, Flavourful & Crispy 25 g",
SFG0335,Coated Peanuts Tandoori Toofan Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),coated peanuts tandoori toofan,Y,fg,Y,sfg,kg,wip,FIFO,,,4,Krack Nut Coated Peanuts Tandoori Toofan 1 Kg; Kracknut Coated Peanuts - Tandoori Toofan 110g; Kracknut Coated Peanuts - Tandoori Toofan 160gm; Kracknut Coated Peanuts - Tandoori Toofan 25g,
SFG0336,Coated Peanuts Thai Flavour Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),coated peanuts thai flavour,Y,fg,Y,sfg,kg,wip,FIFO,,,4,Krack Nut Coated Peanuts Thai Firangi 1 Kg; Krack Nut Coated Peanuts Thai Firangi 100g; Kracknut Coated Peanuts - Thai Firangi 25g; Kracknut Coated Peanuts-Thai Firangi 110g,
SFG0337,Premia Breakfast Mix Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),premia breakfast mix,Y,fg,Y,sfg,kg,wip,FIFO,,,1,Premia Breakfast Mix 100g (100005226),
SFG0338,Premia Nuts & Seeds Mix Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),premia nuts & seeds mix,Y,fg,Y,sfg,kg,wip,FIFO,,,1,Premia Nuts & Seeds Mix 100g (100005422),
SFG0339,Premia Trail Mix Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),premia trail mix,Y,fg,Y,sfg,kg,wip,FIFO,,,1,Premia Trail Mix 100g (100005227),
SFG0340,Roasted Cashew Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),roasted cashew,Y,fg,Y,sfg,kg,wip,FIFO,,,1,Snack Amor Roasted Cashew 170 Gm,
SFG0341,Chilli Almonds Bulk,EXISTING_BOM_ARTICLE,(routing on bulk article),chilli almonds,Y,fg,Y,sfg,kg,wip,FIFO,,,1,Tasties Chilli Almonds - Flavourful & Crunchy 75 g,
