fg_name,cycle_archetype,stage_seq,stage_bucket,stage_label,input_code,input_kind,output_code,output_kind,create_wip_operation
Roasted Black Sesame (Kale Til) Seeds,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0265,SFG,FG,FG,
Roasted Cashew Bulk,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Roasted Flax Seeds,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0266,SFG,Roasting
Roasted Flax Seeds,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0266,SFG,FG,FG,
Roasted Independence Almonds Bulk,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Roasted Makhana,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0267,SFG,Roasting
Roasted Makhana,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0267,SFG,FG,FG,
Roasted Peanuts,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0268,SFG,Roasting
Roasted Peanuts,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0268,SFG,FG,FG,
Roasted Peanuts Split,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0269,SFG,Roasting
Roasted Peanuts Split,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0269,SFG,FG,FG,
Roasted Poppy Seed,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0270,SFG,Roasting
Roasted Poppy Seed,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0270,SFG,FG,FG,
Roasted Salted Flax Seeds,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0271,SFG,Roasting
Roasted Salted Flax Seeds,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0271,SFG,FG,FG,
Roasted White Sesame (Safed Til) Seeds,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0272,SFG,Roasting
Roasted White Sesame (Safed Til) Seeds,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0272,SFG,FG,FG,
Royal Delight Ajwa Dates 250 Gms,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Arabian Dates 200gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Arabian Dates 250g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Arabian Dates 500gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Assorted Dates 500gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Dates Ajwa 800g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Dates Medjool Medium 250g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Kimia Dates 1kg,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Kimia Dates 350gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Mabroom Dates 250 Gms,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Medjool Dates 800g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Medjoul Dates 250 Gms,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Oman Dates 1 Kgs,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Oman Dates 400 Gms,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Safavi Dates 250 Gms,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Safavi Dates 5kg,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Delight Stuff Medjoul Dates 21 Pcs,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0273,SFG,De-Seeding + Stuffing
Royal Delight Stuff Medjoul Dates 21 Pcs,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0273,SFG,FG,FG,
Royal Delight Stuffed Medjoul Dates 12 Pcs,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0274,SFG,De-Seeding + Stuffing
Royal Delight Stuffed Medjoul Dates 12 Pcs,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0274,SFG,FG,FG,
Royal Delight Stuffed Medjul Large Dates 12 Pieces,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0275,SFG,De-Seeding + Stuffing
Royal Delight Stuffed Medjul Large Dates 12 Pieces,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0275,SFG,FG,FG,
Royal Traditions Almond 100g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Almonds Salted 100g,C: Pack of existing SFG,1,Final FG,Packing,SFG0261,SFG,FG,FG,
Royal Traditions Cashew 100g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Cashew Black Pepper 100g,C: Pack of existing SFG,1,Final FG,Packing,SFG0024,SFG,FG,FG,
Royal Traditions Cashew Salted 100g,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
Royal Traditions Cranberries Chatpata 100g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Mahotsav Dry Fruits 500gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Plain Raisins 100g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Tyohar 400gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal Traditions Utsav 300g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Royal delight Medjoul Dates 400gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SHAHI UPHAR 300gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SHUBHKAMANYEN 180gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SIGNATURE COLLECTIONS 600gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SPAR BANDHAN FESTIVE DRY FRUIT BOX 800G,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SPAR SELECT ALMONDS 500G,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
SUPREME 800gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Salt and Pepper Cashew Bulk,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0278,SFG,Roast & Flavour/Salt
Salt and Pepper Cashew Bulk,A: WIP producer (bulk),2,Final FG,Packing,SFG0278,SFG,FG,FG,
Salted Premium Nut Mix,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0279,SFG,Roast & Flavour/Salt
Salted Premium Nut Mix,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0279,SFG,FG,FG,
Sea Salt Dry - Roasted Macadamia Nuts- Size 1,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Seed Mix,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0280,SFG,Roasting
Seed Mix,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0280,SFG,FG,FG,
Seed Trail Mix,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0281,SFG,Roasting
Seed Trail Mix,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0281,SFG,FG,FG,
Seedy Sheid- Lime Chilly 33gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0282,SFG,Roast & Flavour/Salt
Seedy Sheid- Lime Chilly 33gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0282,SFG,FG,FG,
Seedy Sheid- Lime Chilly 35gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0282,SFG,Roast & Flavour/Salt
Seedy Sheid- Lime Chilly 35gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0282,SFG,FG,FG,
Single Safavi Stuffed Dates,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0283,SFG,De-Seeding + Stuffing
Single Safavi Stuffed Dates,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0283,SFG,FG,FG,
Smoked Almonds,C: Pack of existing SFG,1,Final FG,Packing,SFG0284,SFG,FG,FG,
Smoked Almonds Bulk,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0284,SFG,Roast & Flavour/Salt
Smoked Almonds Bulk,A: WIP producer (bulk),2,Final FG,Packing,SFG0284,SFG,FG,FG,
Smokey BBQ Cashew Bulk,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0285,SFG,Roast & Flavour/Salt
Smokey BBQ Cashew Bulk,A: WIP producer (bulk),2,Final FG,Packing,SFG0285,SFG,FG,FG,
Smokey BBQ Coated Peanuts 200g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0286,SFG,Roast & Flavour/Salt
Smokey BBQ Coated Peanuts 200g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0286,SFG,FG,FG,
Smokey BBQ Coated Peanuts 70gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0286,SFG,Roast & Flavour/Salt
Smokey BBQ Coated Peanuts 70gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0286,SFG,FG,FG,
Snack Amor Diwali Gift Box 400gm,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snack Amor Popcorn Makhana 55 Gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0287,SFG,Roast & Flavour/Salt
Snack Amor Popcorn Makhana 55 Gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0287,SFG,FG,FG,
Snack Amor Roasted Cashew 170 Gm,C: Pack of existing SFG,1,Final FG,Packing,SFG0340,SFG,FG,FG,
Snackania Afghan Black Raisins 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Afghan Green Raisins 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Ajwa Dates 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania American Almonds 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Blueberry 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania California Pistachio Roasted & Salted 230g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0288,SFG,Roast & Flavour/Salt
Snackania California Pistachio Roasted & Salted 230g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0288,SFG,FG,FG,
Snackania Cashew 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Chile Walnut Kernel 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Cocktail Mix 480g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0289,SFG,Roast & Flavour/Salt
Snackania Cocktail Mix 480g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0289,SFG,FG,FG,
Snackania Cranberry 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Fard Dates Premium 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Green Chilli Cashew 230g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Irani Pistachio Roasted & Salted 230g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0290,SFG,Roast & Flavour/Salt
Snackania Irani Pistachio Roasted & Salted 230g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0290,SFG,FG,FG,
Snackania Khalas Dates 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snackania Safavi Dates 480g,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Snacktive Green Chilli Cashew 250 gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0291,SFG,Roast & Flavour/Salt
Snacktive Green Chilli Cashew 250 gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0291,SFG,FG,FG,
Solimo Cashew 250g (B01LPY9PHI)-FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Cashew 500g (B01LPY9UG4) FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Dates 500g (B085NTZMVR),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Fard Dates 500gm (B0CZ9MC4B3),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Figs 500g (B084429DVD) FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Preimum Almonds 1kg (B01LPY9P2I) - FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Almonds 250g ( B01LPY9XY8 ),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Dried Apricots 500g 9B07PZWP8Z1,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Hazelnuts 250g (B07MLDJKTP) FBA,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Macadamia Nuts 250g (B07MLD6WFQ),B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0292,SFG,Roasting
Solimo Premium Macadamia Nuts 250g (B07MLD6WFQ),B: Transform->Pack (in-line),2,Final FG,Packing,SFG0292,SFG,FG,FG,
"Solimo Premium Pecan Nuts, 250g (B07MF7K9HD)",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
"Solimo Premium Pine Nuts, 250g (B07MF7FRRG)",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Pista Kernels - Plain 250g (B07Q1Z293G),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Raisin 250g (B01LPYAB9O),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
"Solimo Premium Raisins, 500 g (B07RJXW87Z)",D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Walnut Kernal 250g (B0754LKDJ4),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Walnut Kernels - Broken 500g B07LF8HCLL,C: Pack of existing SFG,1,Final FG,Packing,SFG0333,SFG,FG,FG,
Solimo Premium Walnut Kernels 500g (B07LFH2JNR),D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Premium Walnut Kernels 500g (Pack of 2) B07LF8HGDB,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Solimo Walnut Kernels – Broken 500g (Pack of 2) B07LFJZR4G,C: Pack of existing SFG,1,Final FG,Packing,SFG0333,SFG,FG,FG,
Sour & Cream Cashew Bulk,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0293,SFG,Roast & Flavour/Salt
Sour & Cream Cashew Bulk,A: WIP producer (bulk),2,Final FG,Packing,SFG0293,SFG,FG,FG,
Stuffed Dates 1kg,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding + Stuffing,RM,RM,SFG0294,SFG,De-Seeding + Stuffing
Stuffed Dates 1kg,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0294,SFG,FG,FG,
