fg_sample,base_recipe,create_wip_operation,sfg_origin,sfg_code,sfg_article,num_fgs
Carnival Festive Seedless Black Raisin 200gm,Carnival Festive Seedless Black Raisin,De-Seeding,DERIVED_INLINE,SFG0068,Carnival Festive Seedless Black Raisin · WIP · DeSeed,1
Carnival FestiveSalted Cashew (320) 100gm,Carnival FestiveSalted Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0069,Carnival FestiveSalted Cashew · WIP · RoastFlav,1
Carnival Flax Seeds 100G,Carnival Flax Seeds,Roasting,DERIVED_INLINE,SFG0070,Carnival Flax Seeds · WIP · Roast,1
Carnival Ganpati Date Mewa Box 242g,Carnival Ganpati Date Mewa,Blend & Form,DERIVED_INLINE,SFG0071,Carnival Ganpati Date Mewa · WIP · BlendForm,1
Carnival Himalayan Salt & Pepper Pistachios 25g,Carnival Himalayan Salt & Pepper Pistachios,Roast & Flavour/Salt,DERIVED_INLINE,SFG0072,Carnival Himalayan Salt & Pepper Pistachios · WIP · RoastFlav,1
Carnival Honey Roasted Almonds 100G,Carnival Honey Roasted Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0073,Carnival Honey Roasted Almonds · WIP · RoastFlav,1
Carnival Mocha Mojo Trail Mix 100g / Carnival Mocha Mojo Trail Mix 200g / Carnival Mocha Mojo Trail Mix 250g,Carnival Mocha Mojo Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,3
Carnival Nuts & Seed Mix 100gm,Carnival Nuts & Seed Mix,Roasting,DERIVED_INLINE,SFG0075,Carnival Nuts & Seed Mix · WIP · Roast,1
Carnival Pan Raisin 125g,Carnival Pan Raisin,Roast & Flavour/Salt,DERIVED_INLINE,SFG0076,Carnival Pan Raisin · WIP · RoastFlav,1
Carnival Pepper Cashew 100G / Carnival Pepper Cashew 125gm / Carnival Pepper Cashew 200G,Carnival Pepper Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,3
Carnival Pepper Pistachios 200G,Carnival Pepper Pistachios,Roast & Flavour/Salt,DERIVED_INLINE,SFG0078,Carnival Pepper Pistachios · WIP · RoastFlav,1
Carnival Peri Peri Makhana 125g / Carnival Peri Peri Makhana 55g,Carnival Peri Peri Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0079,Carnival Peri Peri Makhana · WIP · RoastFlav,2
Carnival Peri Peri Walnut 150g,Carnival Peri Peri Walnut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0080,Carnival Peri Peri Walnut · WIP · RoastFlav,1
Carnival Popcorn Makhana 125g / Carnival Popcorn Makhana 55gm,Carnival Popcorn Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0081,Carnival Popcorn Makhana · WIP · RoastFlav,2
Carnival Premium Cocktail Mix 100g / Carnival Premium Cocktail Mix 250 Gms,Carnival Premium Cocktail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0082,Carnival Premium Cocktail Mix · WIP · RoastFlav,2
Carnival Pudina Almonds 125g,Carnival Pudina Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0083,Carnival Pudina Almonds · WIP · RoastFlav,1
Carnival Pudina Makhana 125 Gm,Carnival Pudina Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0084,Carnival Pudina Makhana · WIP · RoastFlav,1
Carnival Roasted & Salted Almonds 100g / Carnival Roasted & Salted Almonds 230g / Carnival Roasted & Salted Almonds 250g,Carnival Roasted & Salted Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,3
Carnival Roasted & Salted Cashew 100g / Carnival Roasted & Salted Cashew 230g,Carnival Roasted & Salted Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0086,Carnival Roasted & Salted Cashew · WIP · RoastFlav,2
Carnival Roasted & Salted Pistachio 200g,Carnival Roasted & Salted Pistachio,Roast & Flavour/Salt,DERIVED_INLINE,SFG0087,Carnival Roasted & Salted Pistachio · WIP · RoastFlav,1
Carnival Salt & Pepper Walnut 150g,Carnival Salt & Pepper Walnut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0088,Carnival Salt & Pepper Walnut · WIP · RoastFlav,1
Carnival Salted Caramel Pecannuts 80g,Carnival Salted Caramel Pecannuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0089,Carnival Salted Caramel Pecannuts · WIP · RoastFlav,1
Carnival Simply Thandai 100g,Carnival Simply Thandai,Roast & Flavour/Salt,DERIVED_INLINE,SFG0090,Carnival Simply Thandai · WIP · RoastFlav,1
