article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
PM24-Royal Delight Kimia Dates Top 1000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mabroom 3Ply 5 Kg Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mabroom Dates Seedless Albarkh (Cred) 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mabroom Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mabroom Pouch 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Maryam Dates Top (Cred) 350 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mazafati Dates 3Ply 5 Kg-Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Medjool Dates Top (Brown) (Cred) 400 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Medjoul Dates 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Medjoul Dates 3Ply 5 Kg-Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Medjoul Top 1kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Medjoul-Sample Pouch 10-12 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mejool Junior Dates Top (Dark Blue) (Cred) 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mejool Junior Dates Top Blue (Cred) 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Mejool Medium Dates Top (Purple) (Cred) 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Oman Dates 3Ply 5 Kg-Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Oman Pouch 400 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Oriental Dates 30 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Oriental Dates Top 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi 5Kg Top,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Back Label 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Dates 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Dates 3Ply 5 Kg-Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Dates Seeded 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Dates Top 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Pouch 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Seedless Back Label 300 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Seedless Back Label 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi Seedless Front Label 300 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Safavi-Sample Pouch 10-12 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Sagai Dates Top (Cred) 350 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Sayar Dates Top (Cred) 350 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Stuffed Dates Orange Peel 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Uae Dates 3Ply 5 Kg-Top 385 x 290 x 80mm 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Uae Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Zahidi dates Pouch 1kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight Zahidi Dates Top (Cred) 350 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal Delight-Oman Pouch 155 x 230 mm 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Royal DelightMedjoul Pouch 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Tradition Mahotsav 500g,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Tradition Tyohaar 400g Laptop 400 Gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Tradition Utsav 300g (with Bag)  300 Gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Royal Traditions Shubhkamna 300 g laptop pack,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Sample Pouch 30 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Seed Mix 250 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Seed Mix 280gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Self Adhesivetape 60mm x 64.389 Mtr With Candor Name-Printed 180 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Silver Diwali Laminated 3 side seal Pouch 155 x 205 mm 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Silver Plain Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Silver Pouches for On The Run 5 Grain Cereal 470 G (10*12) Centre Seal 50 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Silver Roll 190 mm-Plain 100 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Silver Roll 285mm-Plain 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Silver Small Pouch-3 Side Seal 50 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Small Round White Coated Tin Llid Withprinted Design 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Small Wad Reliance Pgp-Induction Seal Wad For 500 Ml Round Glass Jar With See Through Screw Type Cap 250 gm written,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Snack Amor Roasted Cashew 170 gm Pouch Digital,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Snack Amor Walnut 250 gm Pouch Digital,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Snactac Display Carton 300 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo  Dried Apricots 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Dried Fig Anjeer Monocarton 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Macadamia Nuts 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Premium Almond 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Premium Cashew Monocarton 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Premium Pine Nuts Unshelled (Chilgoza) 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo Premium Raisins 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Solimo  Walnut Kernels (Broken) 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-South Georgia Pecanuts Roasted 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Berries Mix Label 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Pet Label s Dry Fruit & Berry Mix Label 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Pet Label s Nuts & Seed Mix Label 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Spar Pet Label s Nuts, Berry & Seed Mix Label 100 gm",pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Pet Label s Roasted Salted Almond Label 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Pet Label s Seed Mix Roasted Label 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Pistachio Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Plain Green Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Select Almond 120*225Mm 500 gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Select Californian Pistachio 120*225mm 500gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Select Cashew 120*225mm 500gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Select Pouch 500 G B Spar Select Almond,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Select Pouch 500 G B Spar Select California Pista,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Spar Selecta 350x250 mm Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Special Offer Card 2 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Square Blister 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-STAR BAZAAR LAMINATE ROLL (280mm X 175mm),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-STAR BAZAAR LAMINATE ROLL (375mm X 200mm)500gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Star Bazar Laminate Pouch 100g (280x125mm) Cen,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Star Bazar Laminate Pouch 1KG (375x285mm) Cen seal,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Star Bazar Laminate Pouch 250g (280x175mm) Cen,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Star Bazar Laminate Pouch 500g (375x200mm) Cen,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Star Bazar Laminate Pouch 500g (375x230mm) Cen,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Steel 100 Gm Pet Cap 100 gm (old),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Stereo Development Charges - Carton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Stretch Film 450 mm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Sun Pharma Yoga Bar Monocarton 400 g,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Super Saver 1000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Super Saver 6 x8x300 Gm 300 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Super Saver 7 x10x500 Gm 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Taali Nimboo Pudina Peanut Pouch 150 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Taali Nimboo Spice Masala Peanut Pouch 150 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tape Double Tape,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tasties Brazil Nuts Monocarton 50 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Chilli Almonds Monocarton 75 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Chilli Almonds-Flavourful & Crunchy 75 G,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tasties Chilli Garlic Cashew-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Generic Inner Pouch Roll 50/75 gm 190 mm(White N Red),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Hazelnut-A Turkish Indulgence 50 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Honey Almond-Flavourful & Crunchy-75 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tasties Lemon Pepper Cashew-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Macadamianuts Monocarton 50 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Mixed Berries Trail Mix 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Mixed Dry Fruits Trail Mix 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Pecan Nuts-Iconic American Nut 50 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Peri-Peri Cashew-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Pink Salted Pistachio-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Roasted Almonds With Pink Salt-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Smoked Almonds-Flavourful & Crunchy 75 G,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Trail Mix-Wholesome Monocarton 75 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Tasties Trail Mix-Wholesome Nut Mix 75 G,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tea Bites 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tea Bites Pouch Medium 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tea Bites Small 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Blue Sleeve 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Blue Sleeve 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Brown Sleeve 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Brown Sleeve 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Pink Sleeve 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Pink Sleeve 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Yellow Sleeve 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-The Date Co. Yellow Sleeve 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Transparent Laminate Roll,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tray 22x16 Duplex Board 230gsm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tray 24x15.25 Duplex Board 230gsm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tray 26x16.5 Duplex Board 230gsm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tray Cranival Festive Greetings Box,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Triangular PP Pouch 50 gm,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Tub Rectangle Blister Top, Lid Pl-200Gm 200 gm",pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Tub Rectangular Blister 150*100*32mm-Container Pl Transparent 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Turkey Apricots Pouch (Reliance-unbranded) 200 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Urban Platter Roasted Makhana Wasabi 40G 40 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vacuum 240x260mm (Common)- 110 Micron 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum 240x260mm (Solimo)- 130 Micron 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch 180x240 mm-100 Micron 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch 180x240mm - 130 Micron 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch 230x360,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Vacuum Pouch For 1 Kg- 210 x 305mm, 16G - 90 Micron (Solimo) 1000 gm",pm,,,Y,Y,pm,cfpl,,n/a,,,
"PM24-Vacuum Pouch For 1 Kg-210 x 305mm, 16G-110 Micron (Solimo) 1000 gm",pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch-130 x190mm 100 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch-140 x 240 mm 200 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch-155 x115mm 50 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
"PM24-Vacuum Pouch-390 x 575 mm, 60G-125 Micron 5000 gm",pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuum Pouch-510 x 560mm-65 G-125 Micron-10 Kg 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vacuumed Pouch 210x320mm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Blue Zipper Pouch 250GM,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Blue Zipper Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Popular 100G Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Popular Pouch Roll 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Premium 1Kg Pouch(190mmx260mm) 1000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Premium Pouch (130x153mm) 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Premium Pouch(130mm x 183mm) 200 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Plain Pouch  1 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Plain Pouch  500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Pouch 100GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Pouch 200GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Pouch Roll 100GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Zipper Pouch 1 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Zipper Pouch 200GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Zipper Pouch 250GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Zipper Pouch 500GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purple Zipper Pouch Roll 500GM,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Purpler Pouch Roll 200GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Red Zipper Pouch 1KG,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Red Zipper Pouch 250GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Red Zipper Pouch 500GM,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Season Greeting Blue 5p Folding 800gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Vedaka Seasons Green Corrogated Box 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Wad (Big) Reliance PGP 500 gm For 1000 Ml Round Glass Jar,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Wad For 1000 Ml Reliance PGP Glass,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Wad For 500 Ml Reliance PGP Glass,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Generic Pouch-20 Kg 20000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Laminate Roll For BAPS 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Lion Brazilnuts Roasted 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Milky Tub Rc 201 750 Ml 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Roll With Eyemark,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-White Strip PP Heat Sealing Roll Fully Auto Size 1260-Carton Packaging 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Wholesome Millets Bar R 30 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Wholesome Millets Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Yellow Label 100x50 mm 50 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Cashew Barbeque Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Cashew Pepper Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Cashew Salted Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Cashew Sour Cream Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Coated Peanut Barbeque Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Coated Peanut Chilli Garlic Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Coated Peanut Peri Peri Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Yumasana Coated Peanut Thai Chilli Standy Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Zahidi Dates 900 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zahidi Dates 900 Grm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zahidi Dates Label 1kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zahidi Dates Pouch (Reliance-unbranded) 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Zesque Choco Chips Monocarton 200gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zesque Hemp Seeds Barbeque 200 gm pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zesque Hemp Seeds Mint 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zesque Hemp Trail Mix Salt & Pepper Roasted 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zesque TM  Salt & Pepper Roasted 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zipper Laminated Plain Standy Zipper Pouch (4.75x7.5 in) 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zipper Laminated Plain Standy Zipper Pouch (6x9 in) 150 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Zipper-Silver Standy Pouch 5 x 9 150 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Zipper-Standy Pouch 5.5 X 8,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zipper-Standy Pouch 7 x 10 300 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Zorro Pecan Grain Free Granola 50gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zorro Pecan Maple Glazed 50gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zorro Pecan Roasted And Lightly Salted 50gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zorro Pecan Simply  50gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zorro Pecan Sweet And Spicy 50gm Pouch,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Zorro Simply Pecan Pouch 200gm,pm,,,,Y,pm,cfpl,,n/a,,,
"Popular Raisins, 500 g (B07GR3S1RR)",fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Powder Black Pepper spices,rm,,,Y,Y,rm,cfpl,,n/a,,,
PREGEFLO C 100 G,rm,,,Y,Y,rm,cfpl,,n/a,,,
PREGEFLO C100,rm,,,Y,Y,rm,cfpl,,n/a,,,
PREGEFLO CH 10 G,rm,,,Y,Y,rm,cfpl,,n/a,,,
Premia Almond Salted 100 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
PREMIA ALMONDS SMOKD-100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Breakfast Mix 100g (100005226),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Breakfast Mix Bulk,fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Premia Cashew Black Pepper 100 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Cashew Salted 100 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Chatpata Cranberry 100gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Premia Indian Raisin 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Nuts & Seeds Mix 100g (100005422),fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Premia Nuts & Seeds Mix Bulk,fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Premia Prunes 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Trail Mix 100g (100005227),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Premia Trail Mix Bulk,fg,,Y,Y,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",Y,,BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); CATALOG_FG_NOT_IN_FG_MASTER; SFG_NOT_IN_WIP_SET
Premium Shandukhani Green Raisins,rm,,,,Y,rm,cfpl,,n/a,,,
Premium Trail Mix 100gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Premix- Chocolate & Oats Bites,rm,,,,Y,rm,cfpl,,n/a,,,
Premix- Date & Nuts Bites,rm,,,,Y,rm,cfpl,,n/a,,,
Premix-Cofee Nutribite,rm,,,,Y,rm,cfpl,,n/a,,,
Premix-Salted Caramel Nutribites,rm,,,,Y,rm,cfpl,,n/a,,,
Prunes 1KG (B07GR24VN1),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Prunes 200G (B07GQWRZKN),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Prunes 500G (B07GQZSS53),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
PSYLLIUM HUSK POWDER,rm,,,Y,Y,rm,cfpl,,n/a,,,
Pudina Cashew,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Pudina Makhana,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,Y,
Pudina Makhana 50gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Pudina seasoning,rm,,,Y,Y,rm,cfpl,,n/a,,,
Pumpkin Seed ( 5% ),rm,,,Y,Y,rm,cfpl,,n/a,,,
Pumpkin Seed 12%,rm,,,Y,Y,rm,cfpl,,n/a,,,
Pumpkin Seed 200g (B07GQW1HJC),fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
