article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
AL BARAKAH REZIZ DATES 10KG,rm,,,,Y,rm,cfpl+cdpl,,n/a,,,
AL Barakah Safavi Dates,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH SAFAVI DATES 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH SAYER DATES 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH SAYER DATES THERMO(500GM X 16),rm,,,Y,Y,rm,cfpl+cdpl,,n/a,,,
AL BARAKAH SUFRI DATES 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al barakah Super premium khalas,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakaha Safavi Dates 500g,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Aldaka Medjool Premium Jumbo,rm,,,,Y,rm,cfpl,,n/a,,,
Aldaka Medjool Premium Large,rm,,,,Y,rm,cfpl,,n/a,,,
Almond Apricot and Seeds Date Balls 48 gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Almond Blanched Sliced,rm,Y,Y,Y,Y,rm,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
"Almond Blanched, whole",rm,Y,Y,Y,Y,rm,cfpl,Sorting + Blanching (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Almond Cranberry Black currant and seeds Date Balls 48 gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Almond Flavoured Cajun Loose,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Almond Flavoured Smoked Paprika Loose,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Almond Kernal 150gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Almond Kernal 450gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Almond Kernel,rm,,,,Y,rm,cfpl,,n/a,,,
Almond Mamra Touch,rm,,,,Y,rm,cfpl,,n/a,,,
Almond Masala,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Almond Peri Peri,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Almond Plain 75gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Almond Powder,rm,,,Y,Y,rm,cfpl,,n/a,,,
Almond Roasted,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Roasting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
