fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
HA BLACK CURRENT 250g (1340541),D: Pack-only,Sorting + Packing,RM,,RM
HA MABOROOM DATES 300GM (1357011),D: Pack-only,Sorting + Packing,RM,,RM
HA SEGAI DATES 300GM (1357010),D: Pack-only,Sorting + Packing,RM,,RM
HA SINDUKANI RAISIN 250GM,D: Pack-only,Sorting + Packing,RM,,RM
HA SUKHRY DATES 300GM (1357013),D: Pack-only,Sorting + Packing,RM,,RM
HARDIK SHUBHKAMANYEN 280gm,D: Pack-only,Sorting + Packing,RM,,RM
HOH Panch Mewa Mix Loose,B: Transform->Pack (in-line),Packing,SFG0174,HOH Panch Mewa Mix · WIP · Roast,SFG
HOH Raksha Bandhan Box 190 Gm,D: Pack-only,Sorting + Packing,RM,,RM
HOH Raksha Bandhan Box 268g,D: Pack-only,Sorting + Packing,RM,,RM
Ha Akbari Pista 200g (1357005),D: Pack-only,Sorting + Packing,RM,,RM
Ha Almond Mamro 250g (1340532),D: Pack-only,Sorting + Packing,RM,,RM
Ha Almond Mamro 500g (1350928),D: Pack-only,Sorting + Packing,RM,,RM
Ha Brazil Nut 200g (1340533),D: Pack-only,Sorting + Packing,RM,,RM
Ha Hazulnut 250g (1340531),D: Pack-only,Sorting + Packing,RM,,RM
Ha Maryam Dates 300g(1340537),D: Pack-only,Sorting + Packing,RM,,RM
Ha Pinenut 100g (1340543),D: Pack-only,Sorting + Packing,RM,,RM
Ha Premium Dates Medjool 300g(1340530),D: Pack-only,Sorting + Packing,RM,,RM
Ha Premium Pecans 150g (1340534),D: Pack-only,Sorting + Packing,RM,,RM
Ha Premium Saudi Dates 300g(1340536),D: Pack-only,Sorting + Packing,RM,,RM
Ha Premium Saudi Dates 500g(1356005),D: Pack-only,Sorting + Packing,RM,,RM
Ha Prunes 275g(1340539),D: Pack-only,Sorting + Packing,RM,,RM
Ha Walnut Kernal 250g(1340542),D: Pack-only,Sorting + Packing,RM,,RM
Ha Walnut Kernal 500g(1350930),D: Pack-only,Sorting + Packing,RM,,RM
Ha Walnut Whole 500g(1350935),D: Pack-only,Sorting + Packing,RM,,RM
Habit Coconut Cream Powder 1 Kg (Instant),B: Transform->Pack (in-line),Packing,SFG0171,Habit Coconut Cream Powder · WIP · RoastFlav,SFG
Habit Extra Cheese Seasoning (15kg),B: Transform->Pack (in-line),Packing,SFG0172,Habit Extra Cheese Seasoning · WIP · RoastFlav,SFG
Healing Hand Oats and Dates Bar,B: Transform->Pack (in-line),Packing,SFG0173,Healing Hand Oats and Dates Bar · WIP · BlendForm,SFG
Healthy Choice Chia Seeds 100 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Chia Seeds 200 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Pumpkin Seeds 100 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Pumpkin Seeds 200 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Sunflower Seeds 100 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Sunflower Seeds 200 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Watermelon Seeds 100 g,D: Pack-only,Sorting + Packing,RM,,RM
Healthy Choice Roasted Watermelon Seeds 200 g,D: Pack-only,Sorting + Packing,RM,,RM
Independence Almonds,D: Pack-only,Sorting + Packing,RM,,RM
Indian Green Raisins,D: Pack-only,Sorting + Packing,RM,,RM
Indian Green Raisins 230g,D: Pack-only,Sorting + Packing,RM,,RM
Indian Green Raisins 90gm,D: Pack-only,Sorting + Packing,RM,,RM
Indian Long Green Raisins,D: Pack-only,Sorting + Packing,RM,,RM
Jute Drawstring  300g,D: Pack-only,Sorting + Packing,RM,,RM
Jute Floppy Bag Hamper,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Dates Medjool Medium 200g,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Dates Medjoul Medium [Y1562] 200gm,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates 500 Gms,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Jumbo 1kg,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Junior 1kg,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Large 1kg,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Medium 1kg,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Medium 500 Gm,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Dates Mini 500 Gm,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Jumbo Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Junior 500g,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Super Jumbo 1kg,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Medjoul Super Jumbo 500gm,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Oriental Dates 250g,D: Pack-only,Sorting + Packing,RM,,RM
King Solomon Oriental Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Krack Nut Coated Peanuts Magic Masala 110g,B: Transform->Pack (in-line),Packing,SFG0175,Krack Nut Coated Peanuts Magic Masala · WIP · RoastFlav,SFG
Krack Nut Coated Peanuts Pudina Patakha 100g,C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
Krack Nut Coated Peanuts Pudina Patakha 25g Not Use,B: Transform->Pack (in-line),Packing,SFG0176,Krack Nut Coated Peanuts Pudina Patakha · WIP · RoastFlav,SFG
Krack Nut Coated Peanuts Pudina Patakha 25gm,C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
Krack Nut Coated Peanuts Tandoori Toofan 1 Kg,C: Pack of existing SFG,Packing,SFG0335,Coated Peanuts Tandoori Toofan Bulk,SFG
Krack Nut Coated Peanuts Thai Firangi 1 Kg,C: Pack of existing SFG,Packing,SFG0336,Coated Peanuts Thai Flavour Bulk,SFG
Krack Nut Coated Peanuts Thai Firangi 100g,C: Pack of existing SFG,Packing,SFG0336,Coated Peanuts Thai Flavour Bulk,SFG
Kracknut Coated Peanuts - Tandoori Toofan 110g,C: Pack of existing SFG,Packing,SFG0335,Coated Peanuts Tandoori Toofan Bulk,SFG
Kracknut Coated Peanuts - Tandoori Toofan 160gm,C: Pack of existing SFG,Packing,SFG0335,Coated Peanuts Tandoori Toofan Bulk,SFG
Kracknut Coated Peanuts - Tandoori Toofan 25g,C: Pack of existing SFG,Packing,SFG0335,Coated Peanuts Tandoori Toofan Bulk,SFG
Kracknut Coated Peanuts - Thai Firangi 25g,C: Pack of existing SFG,Packing,SFG0336,Coated Peanuts Thai Flavour Bulk,SFG
Kracknut Coated Peanuts-Pudhina Patakha 110g,C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
Kracknut Coated Peanuts-Pudhina Patakha 1kg,C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
Kracknut Coated Peanuts-Thai Firangi 110g,C: Pack of existing SFG,Packing,SFG0336,Coated Peanuts Thai Flavour Bulk,SFG
Lemon Pepper Cashew Bulk,A: WIP producer (bulk),Packing,SFG0177,Lemon Pepper Cashew Bulk,SFG
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,Sorting + Packing,RM,,RM
Mac Snack Dry Roasted Macadamias Munchies 100gm-style 4,B: Transform->Pack (in-line),Packing,SFG0179,Mac Snack Dry Roasted Macadamias Munchies 100gm-style · WIP · Roast,SFG
Mac Snack Dry Roasted Macadamias Munchies 200gm,B: Transform->Pack (in-line),Packing,SFG0178,Mac Snack Dry Roasted Macadamias Munchies · WIP · Roast,SFG
Mac Snack Macadamia Stlye 0 Premium-200gm,D: Pack-only,Sorting + Packing,RM,,RM
Mac Snack Macadamia Style 1 Roasted & Salted Premium 200g,D: Pack-only,Sorting + Packing,RM,,RM
Mac Snack Roasted & Salted Macadamias Munchies 200gm-style 4,B: Transform->Pack (in-line),Packing,SFG0180,Mac Snack Roasted & Salted Macadamias Munchies 200gm-style · WIP · RoastFlav,SFG
Mac Snack Roasted Macadamias Munchies 100gm-style 4,B: Transform->Pack (in-line),Packing,SFG0181,Mac Snack Roasted Macadamias Munchies 100gm-style · WIP · RoastFlav,SFG
Macadamia Inshell 150g,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Kernal 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted & Salted style 4,B: Transform->Pack (in-line),Packing,SFG0182,Macadamia Roasted & Salted style · WIP · RoastFlav,SFG
Macadamia Roasted - Size 1,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted - Size 2,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted - Size 4,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted NIS Sawn,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted Salted - Size 0,D: Pack-only,Sorting + Packing,RM,,RM
Macadamia Roasted Salted - Size 1,D: Pack-only,Sorting + Packing,RM,,RM
Makhana Black Pepper,B: Transform->Pack (in-line),Packing,SFG0183,Makhana Black Pepper · WIP · RoastFlav,SFG
Makhana Black Salt 75gm,B: Transform->Pack (in-line),Packing,SFG0184,Makhana Black Salt · WIP · RoastFlav,SFG
Makhana Chilli Lime 75gm,B: Transform->Pack (in-line),Packing,SFG0185,Makhana Chilli Lime · WIP · RoastFlav,SFG
Makhana Himalayan Pink Salt,B: Transform->Pack (in-line),Packing,SFG0186,Makhana Himalayan Pink Salt · WIP · RoastFlav,SFG
Makhana Himalayan Pink Salt 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Makhana Masala,B: Transform->Pack (in-line),Packing,SFG0187,Makhana Masala · WIP · RoastFlav,SFG
Makhana Peri Peri,B: Transform->Pack (in-line),Packing,SFG0188,Makhana Peri Peri · WIP · RoastFlav,SFG
Makhana Tangy Tomato 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Masala Cashew,B: Transform->Pack (in-line),Packing,SFG0189,Masala Cashew · WIP · RoastFlav,SFG
Masala Raisin,D: Pack-only,Sorting + Packing,RM,,RM
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),Packing,SFG0190,Methi Dryfruit Laddu bar · WIP · BlendForm,SFG
Milk Almond Draggies,B: Transform->Pack (in-line),Packing,SFG0191,Milk Almond Draggies · WIP · Roast+Enrobe,SFG
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),Packing,SFG0192,Milk Chocolate Coated Date Bites · WIP · BlendForm,SFG
Millennium Nut Mix,D: Pack-only,Sorting + Packing,RM,,RM
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),Packing,SFG0193,Mocha Mojo Trail Mix · WIP · RoastFlav,SFG
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),Packing,SFG0194,Moon Freeze Banana Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),Packing,SFG0194,Moon Freeze Banana Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),Packing,SFG0195,Moon Freeze Mango Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),Packing,SFG0195,Moon Freeze Mango Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),Packing,SFG0196,Moon Freeze Pineapple Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),Packing,SFG0196,Moon Freeze Pineapple Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),Packing,SFG0197,Moon Freeze Strawberry Date Fruit Bar · WIP · BlendForm,SFG
Moon Freeze Strawberry Date Fruit Bar -10 GM,B: Transform->Pack (in-line),Packing,SFG0197,Moon Freeze Strawberry Date Fruit Bar · WIP · BlendForm,SFG
NATAPURE Almond 200g,D: Pack-only,Sorting + Packing,RM,,RM
NATAPURE Roasted Almonds 175gms,D: Pack-only,Sorting + Packing,RM,,RM
NATURES FIGS 250GM (1357008),D: Pack-only,Sorting + Packing,RM,,RM
NATURES FIGS 500G (1357009),D: Pack-only,Sorting + Packing,RM,,RM
NATURES MACADAMIA ROASTED&SALTED 100g (1443558),B: Transform->Pack (in-line),Packing,SFG0199,NATURES MACADAMIA ROASTED&SALTED · WIP · RoastFlav,SFG
NB AMERICAN ALMOND LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB AMERICAN ALMOND SELECTED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB ANJEER LARGE (SLW) LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB ANJEER SELECT (WHITE) LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB ANJEER SMALL (1X1W) LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB APRICOT SEEDLESS (TURKEY) DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB APRICOT WHOLE DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB BARBEQUE ALMOND LOOSE,B: Transform->Pack (in-line),Packing,SFG0200,NB BARBEQUE ALMOND · WIP · RoastFlav,SFG
NB BARBEQUE CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0201,NB BARBEQUE CASHEW · WIP · RoastFlav,SFG
NB BLACK PEPPER CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0202,NB BLACK PEPPER CASHEW · WIP · RoastFlav,SFG
NB BLACK RAISIN SEEDLESS LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB BLACKBERRY DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB BLACKCURRANT DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB BLUEBERRY DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB BRAZIL NUT LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB CASHEW W150 LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB CASHEW W180 LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB CASHEW W240 LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB CHARCOAL CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0203,NB CHARCOAL CASHEW · WIP · RoastFlav,SFG
NB CHEESE CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0204,NB CHEESE CASHEW · WIP · RoastFlav,SFG
NB CHIA SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB CRANBERRY DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED BABY ORANGE LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED CHERRY LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED GINGER LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED GUAVA LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED KIWI LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED MANGO SLICED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED PEACH GREEN LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED PEACH RED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED PEACH YELLOW LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED PINEAPPLE COIN LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED PINEAPPLE RING LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB DEHYDRATED STRAWBERRY LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB FLAX SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB GOJI BERRY DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB GREEN CHILLY CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0205,NB GREEN CHILLY CASHEW · WIP · RoastFlav,SFG
NB HAZELNUT LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB HONEY ROAST ALMOND LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MACADAMIA INSHELL VANILLA LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MACADAMIA LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MAMRA ALMOND CLASSIC LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MAMRA ALMOND ROYAL LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MAMRA ALMOND ROYAL LOOSE_x000D_,D: Pack-only,Sorting + Packing,RM,,RM
NB MASALA CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0206,NB MASALA CASHEW · WIP · RoastFlav,SFG
NB MASALA RAISIN LOOSE,B: Transform->Pack (in-line),Packing,SFG0207,NB MASALA RAISIN · WIP · RoastFlav,SFG
NB MILLENNIUM NUT MIX LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB MUNAKKA LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PAAN RAISIN LOOSE,B: Transform->Pack (in-line),Packing,SFG0208,NB PAAN RAISIN · WIP · RoastFlav,SFG
NB PECAN NUT LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PERI-PERI CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0209,NB PERI-PERI CASHEW · WIP · RoastFlav,SFG
NB PINENUT LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PISTACHIO AKBARI LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PISTACHIO IRANI LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PISTACHIO KERNEL 5 STAR LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PISTACHIO KERNEL PREMIUM LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PRUNES DRIED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB PUMPKIN SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB RAISIN AFGHAN,D: Pack-only,Sorting + Packing,RM,,RM
NB RAISIN INDIAN PREMIUM LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB RAISIN SANDUKANI LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB ROASTED & SALTED ALMOND LOOSE,B: Transform->Pack (in-line),Packing,SFG0210,NB ROASTED & SALTED ALMOND · WIP · RoastFlav,SFG
NB ROASTED & SALTED CASHEW LOOSE,B: Transform->Pack (in-line),Packing,SFG0211,NB ROASTED & SALTED CASHEW · WIP · RoastFlav,SFG
NB ROASTED MACADAMIA INSHELL LOOSE,B: Transform->Pack (in-line),Packing,SFG0212,NB ROASTED MACADAMIA INSHELL · WIP · Roast,SFG
NB SMOKED ALMOND LOOSE,B: Transform->Pack (in-line),Packing,SFG0213,NB SMOKED ALMOND · WIP · RoastFlav,SFG
NB SRIRACHA CASHEW LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB SUNFLLOWER SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB TRAIL MIX - POWER SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB TRAIL MIX - PREMIUM NUT LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB TRAIL MIX SALTED COCKTAIL LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB TRAIL MIX- EVERY HEALTH LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB WALNUTS CHILEAN LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NB WATERMELON SEED LOOSE,D: Pack-only,Sorting + Packing,RM,,RM
NOICE Choco Health Laddoo (18g*5),D: Pack-only,Sorting + Packing,RM,,RM
NOICE Date Bites (18g*5),B: Transform->Pack (in-line),Packing,SFG0214,NOICE Date Bites · WIP · BlendForm,SFG
Nature Dried Kiwi 200 Gm ( 1411658 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures Almonds Reg 200 Gm (1411651),D: Pack-only,Sorting + Packing,RM,,RM
Natures Almons Reg 500 Gm ( 1411652 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures American Almond 100g (1340528),D: Pack-only,Sorting + Packing,RM,,RM
Natures American Almond 250g (1340524),D: Pack-only,Sorting + Packing,RM,,RM
Natures American Almonds 1 KG (1416275),D: Pack-only,Sorting + Packing,RM,,RM
Natures American Alomnd 500g (1350926),D: Pack-only,Sorting + Packing,RM,,RM
Natures Black Rasin 200g (1340522),D: Pack-only,Sorting + Packing,RM,,RM
Natures California Pista Reg 200 Gm (1411656),D: Pack-only,Sorting + Packing,RM,,RM
Natures Cashew Reg 200 Gm ( 1411653 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures Cashew Split 200g (1356008),B: Transform->Pack (in-line),Packing,SFG0198,Natures Cashew Split · WIP · BlanchSlice,SFG
Natures Cashew W 210 500g (1356007),D: Pack-only,Sorting + Packing,RM,,RM
Natures Cashew W210 100g (1340520),D: Pack-only,Sorting + Packing,RM,,RM
Natures Cashew W210 250g (1340525),D: Pack-only,Sorting + Packing,RM,,RM
Natures Dried Amla 200 Gm ( 1411660 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures Dried Cherry 200 Gm ( 1411661 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures Dried Pineapple 200 Gm ( 1411659 ),D: Pack-only,Sorting + Packing,RM,,RM
Natures Dried Strawberry 200 Gm (1411657),D: Pack-only,Sorting + Packing,RM,,RM
Natures Indian Raisin Reg 200 Gm (1411654),D: Pack-only,Sorting + Packing,RM,,RM
Natures Indian Raisin Reg 500 Gm (1411655),D: Pack-only,Sorting + Packing,RM,,RM
Natures Pista Iranian 100g (1340521),D: Pack-only,Sorting + Packing,RM,,RM
Natures Pista Iranian 250g (1340529),D: Pack-only,Sorting + Packing,RM,,RM
Natures Pistachia Iranian 500g (1340527),D: Pack-only,Sorting + Packing,RM,,RM
Natures Pisto Unshelled 200g (1340526),D: Pack-only,Sorting + Packing,RM,,RM
Natures Premium Mixed Dry Fruits 250g(1356314),D: Pack-only,Sorting + Packing,RM,,RM
Natures Raisin 100g (1340523),D: Pack-only,Sorting + Packing,RM,,RM
Natures Raisin 250g (1340519),D: Pack-only,Sorting + Packing,RM,,RM
Natures Raisin 500g (1356006),D: Pack-only,Sorting + Packing,RM,,RM
Nut Flex - Italian Herbs 33gm,B: Transform->Pack (in-line),Packing,SFG0215,Nut Flex - Italian Herbs · WIP · RoastFlav,SFG
Nut Flex - Italian Herbs 35gm,B: Transform->Pack (in-line),Packing,SFG0215,Nut Flex - Italian Herbs · WIP · RoastFlav,SFG
Nuts & Seed Mix,D: Pack-only,Sorting + Packing,RM,,RM
Nuts and Cardamom Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0216,Nuts and Cardamom Date Balls · WIP · BlendForm,SFG
OATS,D: Pack-only,Sorting + Packing,RM,,RM
ON THE RUN Assorted Energy Bars (Pack of 6x30g),B: Transform->Pack (in-line),Packing,SFG0218,ON THE RUN Assorted Energy Bars · WIP · BlendForm,SFG
ON THE RUN Choco Crunch Energy Bars (Pack of 6x30g),D: Pack-only,Sorting + Packing,RM,,RM
ON THE RUN Choco Crunch Energy Bars 30g,B: Transform->Pack (in-line),Packing,SFG0219,ON THE RUN Choco Crunch Energy Bars · WIP · BlendForm,SFG
ON THE RUN Fig and Date Energy Bar (Pack of 6x30 g),B: Transform->Pack (in-line),Packing,SFG0221,ON THE RUN Fig and Date Energy Bar · WIP · BlendForm,SFG
ON THE RUN Fig and Date Energy Bar 30g,B: Transform->Pack (in-line),Packing,SFG0221,ON THE RUN Fig and Date Energy Bar · WIP · BlendForm,SFG
ON THE RUN Hazelnut Magic Energy Bar 30g,B: Transform->Pack (in-line),Packing,SFG0222,ON THE RUN Hazelnut Magic Energy Bar · WIP · BlendForm,SFG
"ON THE RUN Oats, Apricot & Cranberry Energy Bar 30g",B: Transform->Pack (in-line),Packing,SFG0223,"ON THE RUN Oats, Apricot & Cranberry Energy Bar · WIP · BlendForm",SFG
Oman Dates 250g (1356292),D: Pack-only,Sorting + Packing,RM,,RM
Omega Mix- Lemon Pepper 35gm,B: Transform->Pack (in-line),Packing,SFG0217,Omega Mix- Lemon Pepper · WIP · RoastFlav,SFG
On the Run Coffee Bite 10g,B: Transform->Pack (in-line),Packing,SFG0220,On the Run Coffee Bite · WIP · BlendForm,SFG
Ontherun Coffee Bite (Pack of 15x10g),B: Transform->Pack (in-line),Packing,SFG0224,Ontherun Coffee Bite · WIP · BlendForm,SFG
Ontherun Coffee Bite (Pack of 6*10g),B: Transform->Pack (in-line),Packing,SFG0224,Ontherun Coffee Bite · WIP · BlendForm,SFG
Oriental Dates,D: Pack-only,Sorting + Packing,RM,,RM
PEANUT BUTTER,B: Transform->Pack (in-line),Packing,SFG0227,PEANUT BUTTER · WIP · RoastFlav,SFG
PEPPER SNACK MIX,B: Transform->Pack (in-line),Packing,SFG0234,PEPPER SNACK MIX · WIP · RoastFlav,SFG
PISTA PERI PERI,B: Transform->Pack (in-line),Packing,SFG0241,PISTA PERI PERI · WIP · RoastFlav,SFG
PL CALIFORNIA PRUNES 200G,D: Pack-only,Sorting + Packing,RM,,RM
PL CLASSIC DATES 500G,D: Pack-only,Sorting + Packing,RM,,RM
PL DRIED BLUEBERRIES 100G,D: Pack-only,Sorting + Packing,RM,,RM
PL SLICED CRANBERRIES 100G,D: Pack-only,Sorting + Packing,RM,,RM
PL TURKEY APRICOTS 200G,D: Pack-only,Sorting + Packing,RM,,RM
PL ZAHIDI DATES 500G,D: Pack-only,Sorting + Packing,RM,,RM
PREMIA ALMONDS SMOKD-100G,C: Pack of existing SFG,Packing,SFG0284,Smoked Almonds Bulk,SFG
Pan Cranberry,B: Transform->Pack (in-line),Packing,SFG0225,Pan Cranberry · WIP · RoastFlav,SFG
Pan Raisin,B: Transform->Pack (in-line),Packing,SFG0226,Pan Raisin · WIP · RoastFlav,SFG
Peanut Coated Spanish Tomato,B: Transform->Pack (in-line),Packing,SFG0228,Peanut Coated Spanish Tomato · WIP · RoastFlav,SFG
Pecan Nuts,D: Pack-only,Sorting + Packing,RM,,RM
Pecans Roasted and Salted,B: Transform->Pack (in-line),Packing,SFG0229,Pecans Roasted and Salted · WIP · RoastFlav,SFG
Peper Garlic Cashew,B: Transform->Pack (in-line),Packing,SFG0230,Peper Garlic Cashew · WIP · RoastFlav,SFG
Pepper Cashew,B: Transform->Pack (in-line),Packing,SFG0231,Pepper Cashew · WIP · RoastFlav,SFG
Pepper Pista 100g Pet,B: Transform->Pack (in-line),Packing,SFG0232,Pepper Pista · WIP · RoastFlav,SFG
Pepper Pista Inshell,B: Transform->Pack (in-line),Packing,SFG0233,Pepper Pista Inshell · WIP · RoastFlav,SFG
Peri Peri Cashew,C: Pack of existing SFG,Packing,SFG0235,Peri Peri Cashew Bulk,SFG
Peri Peri Cashew Bulk,A: WIP producer (bulk),Packing,SFG0235,Peri Peri Cashew Bulk,SFG
Peri Peri Pecannut,B: Transform->Pack (in-line),Packing,SFG0236,Peri Peri Pecannut · WIP · RoastFlav,SFG
