sfg_code,particulars,item_type,item_group,uom,sale_group,gst,batch_strategy,create_wip_operation,sfg_origin,already_in_all_sku,needs_cataloguing,possible_existing_match
SFG0083,Carnival Pudina Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0084,Carnival Pudina Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Roasted & Salted Almonds Bulk
SFG0086,Carnival Roasted & Salted Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Roasted & Salted Cashew Bulk
SFG0087,Carnival Roasted & Salted Pistachio · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0088,Carnival Salt & Pepper Walnut · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0089,Carnival Salted Caramel Pecannuts · WIP · RoastFlav,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0090,Carnival Simply Thandai · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0091,Carnival Simply Thandai Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0092,Carnival Smoked Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Smoked Almonds Bulk
SFG0093,Cashew Jumbo with Skin Roasted and Salted · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0094,Cashew Masala · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0095,Cashew Pink salt · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0096,CCD Energy Bar with Jaggery · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0097,Chatpata Black Raisin · WIP · RoastFlav,sfg,RAISIN,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0098,Chatpata Seasoning · WIP · RoastFlav,sfg,,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0099,CHATPATA SNACK MIX · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0100,Cheese Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0101,Cheese Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0102,Chilean Walnut Kernel Quarter BBQ · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Chilean Walnut Kernel Quarter
SFG0103,Chilean Walnut Kernel Quarter caramel · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Chilean Walnut Kernel Quarter
SFG0104,Chilean Walnut Kernel Quarter lemon pepper · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Chilean Walnut Kernel Quarter
SFG0105,Chilean Walnut Kernel Quarter pepper · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Chilean Walnut Kernel Quarter
SFG0106,Chilean Walnut Kernel Quarter peri peri · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Chilean Walnut Kernel Quarter
SFG0107,Chilli Garlic Masala Seasoning · WIP · RoastFlav,sfg,,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0108,Chipotle Honey Coated Peanuts · WIP · RoastFlav,sfg,PEANUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0109,Choco Crunch Energy Bar · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0110,Chocolate Coated Almond Dragees · WIP · Roast+Enrobe,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0111,Chocolate Coated Blueberries Dragees · WIP · Roast+Enrobe,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0112,Classic Flavour Date Mewa · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0113,Coated Peanuts · WIP · RoastFlav,sfg,PEANUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Barbeque Coated Peanuts Bulk
SFG0114,Coated Peanuts - Magic Masala · WIP · RoastFlav,sfg,PEANUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0115,Cocktail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
