article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
Carnival Indian Kishmish 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Iranian Pistachio 250 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Jumbo Salted Cashew with Skin 200g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Macadamia 200gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Madhur Mahotsav DF Box 4P 400g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Magic Moments 4P 600gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Mangalmay Utsav DF Box 6P 600g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Mocha Mojo Trail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0074,SFG
Carnival Mocha Mojo Trail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0074,SFG,FG,FG
Carnival Mocha Mojo Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0074,SFG
Carnival Mocha Mojo Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0074,SFG,FG,FG
Carnival Mocha Mojo Trail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0074,SFG
Carnival Mocha Mojo Trail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0074,SFG,FG,FG
Carnival Nuts & Seed Mix 100gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0075,SFG
Carnival Nuts & Seed Mix 100gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0075,SFG,FG,FG
Carnival Oman Dates 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Pan Raisin 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0076,SFG
Carnival Pan Raisin 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0076,SFG,FG,FG
Carnival Pepper Cashew 100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0077,SFG
Carnival Pepper Cashew 100G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0077,SFG,FG,FG
Carnival Pepper Cashew 125gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0077,SFG
Carnival Pepper Cashew 125gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0077,SFG,FG,FG
Carnival Pepper Cashew 200G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0077,SFG
Carnival Pepper Cashew 200G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0077,SFG,FG,FG
Carnival Pepper Pistachios 200G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0078,SFG
Carnival Pepper Pistachios 200G,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0078,SFG,FG,FG
Carnival Peri Peri Cashew 100 Gms,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Peri Peri Cashew 150gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0235,SFG,FG,FG
Carnival Peri Peri Cashew 200gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0235,SFG,FG,FG
Carnival Peri Peri Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0079,SFG
Carnival Peri Peri Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0079,SFG,FG,FG
Carnival Peri Peri Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0079,SFG
Carnival Peri Peri Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0079,SFG,FG,FG
Carnival Peri Peri Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0080,SFG
Carnival Peri Peri Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0080,SFG,FG,FG
Carnival Pine Nut 100 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Pitted Prunes 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Popcorn Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0081,SFG
Carnival Popcorn Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0081,SFG,FG,FG
Carnival Popcorn Makhana 55gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0081,SFG
Carnival Popcorn Makhana 55gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0081,SFG,FG,FG
"Carnival Premium Brazil Nuts, 250 Gms",cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Premium Cocktail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0082,SFG
Carnival Premium Cocktail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0082,SFG,FG,FG
Carnival Premium Cocktail Mix 250 Gms,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0082,SFG
Carnival Premium Cocktail Mix 250 Gms,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0082,SFG,FG,FG
Carnival Premium Kesar 0.5 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Premium Macadamia Nut 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Premium Pecan Nuts 200g Mono Carton,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Premium Pecan Nuts 250 Gms,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Premium Walnut Kernels 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Pudina Almonds 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0083,SFG
Carnival Pudina Almonds 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0083,SFG,FG,FG
Carnival Pudina Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0084,SFG
Carnival Pudina Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0084,SFG,FG,FG
Carnival Raisin Black Seeded 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Raisins Black Chatpata 200g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Roasted & Salted Almonds 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0085,SFG
Carnival Roasted & Salted Almonds 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0085,SFG,FG,FG
Carnival Roasted & Salted Almonds 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0085,SFG
Carnival Roasted & Salted Almonds 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0085,SFG,FG,FG
Carnival Roasted & Salted Almonds 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0085,SFG
Carnival Roasted & Salted Almonds 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0085,SFG,FG,FG
Carnival Roasted & Salted Cashew 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0086,SFG
Carnival Roasted & Salted Cashew 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0086,SFG,FG,FG
Carnival Roasted & Salted Cashew 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0086,SFG
Carnival Roasted & Salted Cashew 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0086,SFG,FG,FG
Carnival Roasted & Salted Pistachio 100g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Roasted & Salted Pistachio 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0087,SFG
Carnival Roasted & Salted Pistachio 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0087,SFG,FG,FG
Carnival Roasted & Salted Pistachio 250g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Roasted Macadamia Nuts 250g,cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Salt & Pepper Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0088,SFG
Carnival Salt & Pepper Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0088,SFG,FG,FG
Carnival Salted Caramel Pecannuts 80g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0089,SFG
Carnival Salted Caramel Pecannuts 80g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0089,SFG,FG,FG
Carnival Shubhakamnayein 3P 300g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Simply Thandai 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0090,SFG
Carnival Simply Thandai 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0090,SFG,FG,FG
Carnival Simply Thandai Mix 200gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0091,SFG
Carnival Simply Thandai Mix 200gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0091,SFG,FG,FG
Carnival Smoked Almonds 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0092,SFG
Carnival Smoked Almonds 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0092,SFG,FG,FG
Carnival Smoked Almonds 200g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Spanish Tomato Cashew 100G,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Walnut Kernal 2pc 200gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 100g (B07GQZSS49) FBA,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 180,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 230gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 240,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 240 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 320,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew 500g (B07GQW1HHN),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew Jumbo with Skin Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0093,SFG
Cashew Jumbo with Skin Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0093,SFG,FG,FG
Cashew Masala,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0094,SFG
Cashew Masala,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0094,SFG,FG,FG
Cashew Pink salt,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0095,SFG
Cashew Pink salt,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0095,SFG,FG,FG
Cashew Roasted,cfpl,Flavouring (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cashew Wasabi,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Celebration Sleek Box 200g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Celebration Sleek Box Hamper 01,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Celebration Sleek Box Hamper 02,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chatpata Black Raisin,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0097,SFG
Chatpata Black Raisin,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0097,SFG,FG,FG
Chatpata Cranberry,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chatpata Cranberry 75gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chatpata Seasoning,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0098,SFG
Chatpata Seasoning,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0098,SFG,FG,FG
Cheese Cashew,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0100,SFG
Cheese Cashew,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0100,SFG,FG,FG
Cheese Makhana,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0101,SFG
Cheese Makhana,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0101,SFG,FG,FG
Chia Seeds 100G (B07GQZCP91),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chia Seeds 200G (B07GQQLZPD),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chia Seeds 500G (B07GQZSJFH),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chilean  Walnut Kernel 2pc 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chilean Walnut Kernel 2 pcs,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chilean Walnut Kernel Quarter,cfpl,Sorting (Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: (pack of existing SFG),(pack of existing SFG),RM,RM,SFG0333,SFG
Chilean Walnut Kernel Quarter,cfpl,Sorting (Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0333,SFG,FG,FG
Chilean Walnut Kernel Quarter BBQ,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0102,SFG
Chilean Walnut Kernel Quarter BBQ,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0102,SFG,FG,FG
Chilean Walnut Kernel Quarter caramel,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0103,SFG
Chilean Walnut Kernel Quarter caramel,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0103,SFG,FG,FG
Chilean Walnut Kernel Quarter lemon pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0104,SFG
Chilean Walnut Kernel Quarter lemon pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0104,SFG,FG,FG
Chilean Walnut Kernel Quarter pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0105,SFG
Chilean Walnut Kernel Quarter pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0105,SFG,FG,FG
Chilean Walnut Kernel Quarter peri peri,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0106,SFG
Chilean Walnut Kernel Quarter peri peri,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0106,SFG,FG,FG
Chilli Almonds Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chilli Garlic Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Chilli Garlic Masala Seasoning,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0107,SFG
Chilli Garlic Masala Seasoning,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0107,SFG,FG,FG
Chipotle Honey Coated Peanuts 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0108,SFG
Chipotle Honey Coated Peanuts 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0108,SFG,FG,FG
Chipotle Honey Coated Peanuts 70gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0108,SFG
Chipotle Honey Coated Peanuts 70gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0108,SFG,FG,FG
Choco Crunch Energy Bar 38gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0109,SFG
Choco Crunch Energy Bar 38gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0109,SFG,FG,FG
Chocolate Coated Almond Dragees 50gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0110,SFG
Chocolate Coated Almond Dragees 50gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0110,SFG,FG,FG
Chocolate Coated Blueberries Dragees 50gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0111,SFG
Chocolate Coated Blueberries Dragees 50gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0111,SFG,FG,FG
Classic Flavour Date Mewa 18gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0112,SFG
Classic Flavour Date Mewa 18gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0112,SFG,FG,FG
Coated Peanuts,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0113,SFG
Coated Peanuts,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0113,SFG,FG,FG
Coated Peanuts - Magic Masala 1Kg,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0114,SFG
Coated Peanuts - Magic Masala 1Kg,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0114,SFG,FG,FG
Cocktail Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0115,SFG
Cocktail Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0115,SFG,FG,FG
Cocktail Mix 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0115,SFG
Cocktail Mix 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0115,SFG,FG,FG
Cocoa Peanut Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0116,SFG
Cocoa Peanut Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0116,SFG,FG,FG
Coconut Laddubar Mini 9g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0117,SFG
Coconut Laddubar Mini 9g,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0117,SFG,FG,FG
Coffee Laddoo 18gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0118,SFG
Coffee Laddoo 18gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0118,SFG,FG,FG
Coffee Laddoo Semi Finished,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0119,SFG
Coffee Laddoo Semi Finished,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0119,SFG,FG,FG
